,track_id,popularity_track,duration_min,explicit,track_number,release_date,number_of_artists,popularity_artist_mean,followers_mean,num_of_markets,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,major,minor,album,compilation,single,Amount_words,Amount_unique_words,Diversity_coeff,Amount_adlibs,Amount_verses,Amount_chorus,Avg_words_verse,Scalared_popularity
26300,4A7sSA10D35HQUNrSOl5Zo,62,3.41,1,1,460824,3,80.0,6620936.0,185,3B,144.0,50.0,79.0,42.0,0.0,0.0,22.0,5.0,-7,1,0,0,0,1,543.0,196.0,2.770408163265306,6.0,2.0,3.0,110.0,-1.1772297068807263
26301,2wUwC1gBJIC05JH87v2hgN,62,3.5,1,16,436320,2,77.0,9875020.5,185,8A,86.0,25.0,56.0,70.0,82.0,2.0,11.0,13.0,-12,0,1,1,0,0,856.0,252.0,3.3968253968253967,5.0,2.0,3.0,158.0,-1.1772297068807263
26302,0srEXNWgRQ0hXgMBLDE1yS,62,2.83,1,7,474096,1,77.0,6659123.0,185,3A,135.0,65.0,81.0,66.0,34.0,0.0,16.0,25.0,-3,0,1,1,0,0,438.0,194.0,2.2577319587628866,11.0,2.0,0.0,110.0,-1.1772297068807263
26303,34tjVFScQh1ppmiAYGGq32,62,3.34,1,1,431952,2,77.0,6659123.0,185,8B,157.0,43.0,87.0,87.0,31.0,0.0,13.0,57.0,-13,1,0,0,0,1,444.0,207.0,2.1449275362318843,0.0,2.0,0.0,141.0,-1.1772297068807263
26304,5HiA7W5wYDWi06UZFUluRu,62,3.71,0,1,465960,2,74.0,8805386.0,185,1B,88.0,60.0,59.0,55.0,50.0,0.0,12.0,18.0,-6,1,0,0,0,1,186.0,105.0,1.7714285714285714,0.0,1.0,2.0,63.0,-1.1772297068807263
26305,2l7CpLcHxJeiWibGWftnew,62,4.17,0,6,432936,1,75.0,26644123.0,185,8A,145.0,45.0,87.0,61.0,51.0,0.0,15.0,56.0,-9,0,1,1,0,0,398.0,165.0,2.412121212121212,0.0,1.0,0.0,155.0,-1.1772297068807263
26306,3nG784YlxS4VQOF0qiHKVP,62,2.81,1,2,433128,2,75.0,1632818.0,185,4B,156.0,66.0,82.0,53.0,3.0,0.0,14.0,30.0,-5,1,0,1,0,0,483.0,214.0,2.2570093457943927,63.0,3.0,3.0,133.0,-1.1772297068807263
26309,16tcwFXBCSmSxLj5vnlsU9,62,3.3,1,2,443184,4,75.0,9865064.0,185,7A,91.0,81.0,61.0,42.0,14.0,0.0,10.0,11.0,-3,0,1,1,0,0,596.0,254.0,2.3464566929133857,11.0,2.0,2.0,187.0,-1.1772297068807263
26310,06CoDtZi2S0mBJDrpCHi3p,62,2.55,0,1,487368,2,75.0,9865064.0,185,3A,97.0,85.0,63.0,64.0,51.0,0.0,27.0,10.0,-5,0,1,0,0,1,386.0,96.0,4.020833333333333,19.0,1.0,3.0,68.0,-1.1772297068807263
26311,1fHqnN13pBBGI2D19zpvS5,62,1.98,1,9,468888,3,74.0,4605195.0,185,2A,83.0,76.0,59.0,74.0,2.0,0.0,8.0,4.0,-6,0,1,1,0,0,192.0,111.0,1.7297297297297298,0.0,2.0,0.0,51.0,-1.1772297068807263
26313,0vwOWwl785S9EU1wtbeLLJ,62,2.85,1,2,444504,2,76.0,13078033.0,185,3B,125.0,53.0,79.0,36.0,43.0,0.0,15.0,19.0,-6,1,0,1,0,0,825.0,342.0,2.412280701754386,10.0,2.0,0.0,346.0,-1.1772297068807263
